index,researcher_id,title,institution_id,city_id,year,qualis,jcr,magazine_name,tax_id
0,69cb6a3a-e988-489a-9dce-f2f20fcc4bff,A Tributação Da Energia Solar Fotovoltaica Distribuída: Desafios Pós-Pandêmicos Na Promoção Da Sustentabilidade Socioambiental,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,842e3ae0-146c-4ad2-8272-0c4dad6886ff,2023,B3,,Revista Tributária E De Finanças Públicas,1
1,ce6f719a-73ad-4333-b398-023aa696269e,As Potencialidades E Os Limites Da Energia Solar Fotovoltaica No Brasil,7d367bc2-5c74-4648-a637-7f5c3f4fac81,f4a7b2f5-09af-4611-a158-7fb6970c10bf,2023,A4,,Contribuciones A Las Ciencias Sociales,1
2,6b334186-f187-4e2d-a198-230d4c02b65b,Mapeamento Do Potencial Solar Para Microgeração De Energia Elétrica: O Caso Da Cidade De Ilhéus,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,2a96f239-306c-4ca2-a574-865787671d59,2019,A1,,Sociedade & Natureza (ufu. Online),1
3,8081871f-008c-49b4-85c0-fa2bd93805fb,Energia Solar: Um Futuro Sustentã?vel Para Vitã&#147;Ria Da Conquista-Ba,,f1192100-ea81-4916-b5fa-26d740f95f8e,2019,B1,,Geopauta,1
4,81526827-c165-492d-9bcd-cf18c5fcab04,Sistema De Secagem Via Energia Solar E Acumulador De Calor Para Amêndoas De Cacau,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,abedd890-b309-4148-a042-4fadda7a28f0,2019,B3,,"Revista Mundi Engenharia, Tecnologia E Gestão (issn: 2525-4782)",1
5,b04e483f-e550-4730-b5bb-16480c4d6f38,Mapeamento Do Potencial Solar Para Microgeração De Energia Elétrica: O Caso Da Cidade De Ilhéus,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,087a5db7-61f7-4977-941d-352479d3d10e,2019,A1,,Sociedade & Natureza (ufu. Online),1
6,e9016cef-823a-49d9-9a06-e6ea4c3d7edc,Mapeamento Do Potencial Solar Para Microgeração De Energia Elétrica: O Caso Da Cidade De Ilhéus,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,76bb26e3-29fa-4dfb-b9e2-a7c5cdfe5bd8,2019,A1,,Sociedade & Natureza (ufu. Online),1
7,879e937f-8269-42ec-aab6-a39ad3ea5a2b,Potencial De Energia Solar Da Região Metropolitana De Salvador- Bahia,,087a5db7-61f7-4977-941d-352479d3d10e,2018,C,,Revista Scientia,1
8,ff7a08eb-6d2c-4258-942e-a809e7d4e52f,Análise Comparativa Do Potencial De Energia Solar Na Região Nordeste Do Brasil X Alemanha,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,b36597ca-0fdd-483f-b8de-1df2151d68f7,2018,B3,,Revista Científica Semana Acadêmica,1
9,81526827-c165-492d-9bcd-cf18c5fcab04,Maximização Da Energia Solar Para Secagem De Grãos Em Um Secador Vertical: Uma Alternativa Sustentável À Secagem Tradicional,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,abedd890-b309-4148-a042-4fadda7a28f0,2017,SQ,,Anais Do Iii Simpósio De Engenharia De Produção - Simep 2015,1
10,7eee1965-2aac-44b4-aeaa-8ceb85595aee,Potencial De Uso De Um Tanque Solar De Gradiente Salino Para O Armazenamento De Energia Térmica,08aa6e17-f9ae-4979-a399-5b32a506a15e,d4d07c6d-d367-43fc-8c68-3b8925901c28,2012,B4,,Semina. Ciências Exatas E Tecnológicas (online),1
11,b1e2c840-5fd7-421f-bcef-4235bf868d9f,Potencial De Uso De Um Tanque Solar De Gradiente Salino Para O Armazenamento De Energia Térmica,08aa6e17-f9ae-4979-a399-5b32a506a15e,62b14df9-5218-416f-a59f-4ba117b6aa5f,2012,B4,,Semina. Ciências Exatas E Tecnológicas (impresso),1
12,dcb4bd54-574c-471b-80ae-ac2ee578a886,Doses De Nitrogênio E Densidades De Luz No Crescimento Do Feijoeiro E Na Conversão Da Energia Solar.,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,66c4cdce-6e83-4270-82fe-3ac72ecfd568,1988,A4,,Pesquisa Agropecuária Brasileira (1977. Impressa),1
0,69cb6a3a-e988-489a-9dce-f2f20fcc4bff,A Tributação Da Energia Solar Fotovoltaica Distribuída: Desafios Pós-Pandêmicos Na Promoção Da Sustentabilidade Socioambiental,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,842e3ae0-146c-4ad2-8272-0c4dad6886ff,2023,B3,,Revista Tributária E De Finanças Públicas,1
1,8081871f-008c-49b4-85c0-fa2bd93805fb,Energia Solar: Um Futuro Sustentã?vel Para Vitã&#147;Ria Da Conquista-Ba,,f1192100-ea81-4916-b5fa-26d740f95f8e,2019,B1,,Geopauta,1
0,69cb6a3a-e988-489a-9dce-f2f20fcc4bff,A Tributação Da Energia Solar Fotovoltaica Distribuída: Desafios Pós-Pandêmicos Na Promoção Da Sustentabilidade Socioambiental,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,842e3ae0-146c-4ad2-8272-0c4dad6886ff,2023,B3,,Revista Tributária E De Finanças Públicas,1
0,69cb6a3a-e988-489a-9dce-f2f20fcc4bff,A Tributação Da Energia Solar Fotovoltaica Distribuída: Desafios Pós-Pandêmicos Na Promoção Da Sustentabilidade Socioambiental,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,842e3ae0-146c-4ad2-8272-0c4dad6886ff,2023,B3,,Revista Tributária E De Finanças Públicas,1
1,ce6f719a-73ad-4333-b398-023aa696269e,As Potencialidades E Os Limites Da Energia Solar Fotovoltaica No Brasil,7d367bc2-5c74-4648-a637-7f5c3f4fac81,f4a7b2f5-09af-4611-a158-7fb6970c10bf,2023,A4,,Contribuciones A Las Ciencias Sociales,1
2,6b334186-f187-4e2d-a198-230d4c02b65b,Mapeamento Do Potencial Solar Para Microgeração De Energia Elétrica: O Caso Da Cidade De Ilhéus,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,2a96f239-306c-4ca2-a574-865787671d59,2019,A1,,Sociedade & Natureza (ufu. Online),1
